ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,XY (CABA),VICTIMA,ACUSADO,Nº víctimas,V,A,Grupos_Part,Involucrados
2017-0098,1,2017-08-08,2017,8,8,12:10:00,12,JOSE BONIFACIO 2114,CALLE,7,Point (100563.22594607 99771.56223988),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2017-0099,1,2017-08-17,2017,8,17,19:45:00,19,AV. PTE FIGUEROA ALCORTA 5400,AVENIDA,14,Point (103600.34605991 107446.36084135),BICICLETA,AUTO,1,No Motorizado,Motorizado,NmM,AUTO-BICICLETA
2017-0100,1,2017-08-21,2017,8,21,07:45:00,7,VENEZUELA 2135,CALLE,3,Point (106103.99852157 101567.67895783),MOTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,MOTO-OBJETO FIJO
2017-0101,1,2017-08-23,2017,8,23,10:00:00,10,AV. FCO. LACROZE Y ZAPATA,AVENIDA,13,Point (101644.77699748 106480.78805418),PEATON,MULTIPLE,1,PEATON,Multiple,M,MULTIPLE
2017-0102,1,2017-08-24,2017,8,24,01:10:00,1,IRIARTE Y ZAVALETA,AVENIDA,4,Point (105750.92237188 97579.79677541),PEATON,CARGAS,1,PEATON,Motorizado,PM,PEATON-CARGAS
2017-0104,1,2017-08-25,2017,8,25,09:00:00,9,AV. 9 DE JULIO Y ESTADOS UNIDOS,AVENIDA,1,Point (107538.91933237 101188.13128502),PEATON,CARGAS,1,PEATON,Motorizado,PM,PEATON-CARGAS
2017-0106,1,2017-08-31,2017,8,31,19:50:00,19,FRAY JUSTO SANTAMARIA DE ORO Y GUEMES,CALLE,14,Point (103483.20578848 105425.94020024),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0107,1,2017-09-01,2017,9,1,11:30:00,11,AV. DEL LIBERTADOR Y JARAMILLO,AVENIDA,13,Point (100245.64635241 109464.60244956),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0108,2,2017-09-02,2017,9,2,04:53:08,4,AV. GRAL. PAZ Y MACHAIN,GRAL PAZ,12,Point (97098.48468623 109019.96106626),OBJETO FIJO,AUTO,1,No Motorizado,Motorizado,NmM,AUTO-OBJETO FIJO
2017-0109,1,2017-09-04,2017,9,4,21:00:00,21,AV. DIRECTORIO Y PORTELA,AVENIDA,7,Point (99266.22533505 99180.83096967),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2017-0110,1,2017-09-06,2017,9,6,14:15:00,14,LAVALLE Y AV. LEANDRO N ALEM,AVENIDA,1,Point (108513.43549456 103032.95078343),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0111,1,2017-09-07,2017,9,7,18:23:37,18,USPALLATA Y PIROVANO,CALLE,4,Point (103948.02389064 98549.15451723),PEATON,CARGAS,1,PEATON,Motorizado,PM,PEATON-CARGAS
